0.000000e+00	4.440892e-16	5.372773e-17
2.762086e-03	9.222432e-10	2.498429e-10
5.524171e-03	3.674506e-09	9.988237e-10
8.286257e-03	8.248649e-09	2.245704e-09
1.104834e-02	1.463206e-08	3.988364e-09
1.381043e-02	2.280886e-08	6.223841e-09
1.657251e-02	3.278547e-08	8.948342e-09
1.933460e-02	4.452315e-08	1.215726e-08
2.209668e-02	5.799430e-08	1.584516e-08
2.485877e-02	7.316701e-08	2.000583e-08
2.762086e-02	9.000520e-08	2.463230e-08
3.038294e-02	1.084758e-07	2.971679e-08
3.314503e-02	1.286258e-07	3.525085e-08
3.590711e-02	1.503457e-07	4.122527e-08
3.866920e-02	1.735882e-07	4.763018e-08
4.143128e-02	1.983022e-07	5.445504e-08
4.419337e-02	2.244331e-07	6.168869e-08
4.695545e-02	2.519229e-07	6.931936e-08
4.971754e-02	2.807102e-07	7.733472e-08
5.247963e-02	3.107307e-07	8.572190e-08
5.524171e-02	3.419167e-07	9.446754e-08
5.800380e-02	3.741982e-07	1.035578e-07
6.076588e-02	4.075021e-07	1.129784e-07
6.352797e-02	4.417530e-07	1.227148e-07
6.629005e-02	4.768734e-07	1.327519e-07
6.905214e-02	5.127833e-07	1.430743e-07
7.181422e-02	5.494012e-07	1.536666e-07
7.457631e-02	5.866435e-07	1.645129e-07
7.733840e-02	6.244255e-07	1.755972e-07
8.010048e-02	6.626608e-07	1.869033e-07
8.286257e-02	7.019260e-07	1.984149e-07
8.562465e-02	7.438195e-07	2.101157e-07
8.838674e-02	7.863386e-07	2.219892e-07
9.114882e-02	8.294186e-07	2.340190e-07
9.391091e-02	8.729946e-07	2.461889e-07
9.667300e-02	9.170013e-07	2.584825e-07
9.943508e-02	9.614583e-07	2.708837e-07
1.021972e-01	1.006704e-06	2.833764e-07
1.049593e-01	1.052239e-06	2.959449e-07
1.077213e-01	1.098001e-06	3.085734e-07
1.104834e-01	1.143925e-06	3.212468e-07
1.132455e-01	1.189949e-06	3.339499e-07
1.160076e-01	1.236009e-06	3.466680e-07
1.187697e-01	1.282045e-06	3.593866e-07
1.215318e-01	1.327993e-06	3.720919e-07
1.242939e-01	1.373795e-06	3.847700e-07
1.270559e-01	1.419391e-06	3.974079e-07
1.298180e-01	1.464722e-06	4.099928e-07
1.325801e-01	1.509731e-06	4.225124e-07
1.353422e-01	1.554363e-06	4.349549e-07
1.381043e-01	1.598680e-06	4.473091e-07
1.408664e-01	1.643457e-06	4.595641e-07
1.436284e-01	1.687761e-06	4.717098e-07
1.463905e-01	1.731542e-06	4.837366e-07
1.491526e-01	1.774752e-06	4.956352e-07
1.519147e-01	1.817342e-06	5.073973e-07
1.546768e-01	1.859266e-06	5.190148e-07
1.574389e-01	1.900481e-06	5.304803e-07
1.602010e-01	1.940944e-06	5.417873e-07
1.629630e-01	1.980613e-06	5.529294e-07
1.657251e-01	2.019450e-06	5.639012e-07
1.684872e-01	2.057417e-06	5.746976e-07
1.712493e-01	2.094479e-06	5.853144e-07
1.740114e-01	2.131130e-06	5.957476e-07
1.767735e-01	2.167892e-06	6.059942e-07
1.795356e-01	2.203716e-06	6.160515e-07
1.822976e-01	2.238573e-06	6.259175e-07
1.850597e-01	2.272435e-06	6.355907e-07
1.878218e-01	2.305273e-06	6.450702e-07
1.905839e-01	2.337064e-06	6.543557e-07
1.933460e-01	2.367784e-06	6.634471e-07
1.961081e-01	2.397411e-06	6.723453e-07
1.988702e-01	2.425925e-06	6.810514e-07
2.016322e-01	2.453306e-06	6.895669e-07
2.043943e-01	2.479539e-06	6.978940e-07
2.071564e-01	2.506745e-06	7.060352e-07
2.099185e-01	2.532859e-06	7.139934e-07
2.126806e-01	2.557844e-06	7.217720e-07
2.154427e-01	2.581687e-06	7.293747e-07
2.182048e-01	2.604374e-06	7.368056e-07
2.209668e-01	2.625897e-06	7.440690e-07
2.237289e-01	2.646244e-06	7.511698e-07
2.264910e-01	2.665408e-06	7.581128e-07
2.292531e-01	2.683383e-06	7.649033e-07
2.320152e-01	2.701151e-06	7.715468e-07
2.347773e-01	2.719534e-06	7.780490e-07
2.375394e-01	2.736774e-06	7.844157e-07
2.403014e-01	2.752867e-06	7.906530e-07
2.430635e-01	2.767808e-06	7.967669e-07
2.458256e-01	2.781594e-06	8.027638e-07
2.485877e-01	2.794221e-06	8.086499e-07
2.513498e-01	2.805805e-06	8.144315e-07
2.541119e-01	2.819361e-06	8.201151e-07
2.568740e-01	2.831788e-06	8.257071e-07
2.596360e-01	2.843082e-06	8.312137e-07
2.623981e-01	2.853242e-06	8.366413e-07
2.651602e-01	2.862264e-06	8.419961e-07
2.679223e-01	2.872996e-06	8.472841e-07
2.706844e-01	2.883905e-06	8.525115e-07
2.734465e-01	2.893727e-06	8.576840e-07
2.762086e-01	2.902459e-06	8.628073e-07
2.789706e-01	2.910097e-06	8.678870e-07
2.817327e-01	2.916940e-06	8.729283e-07
2.844948e-01	2.927138e-06	8.779363e-07
2.872569e-01	2.936283e-06	8.829159e-07
2.900190e-01	2.944371e-06	8.878717e-07
2.927811e-01	2.951396e-06	8.928080e-07
2.955432e-01	2.963020e-06	8.977289e-07
2.983052e-01	2.989605e-06	9.026383e-07
3.010673e-01	3.020235e-06	9.075395e-07
3.038294e-01	3.048831e-06	9.124358e-07
3.065915e-01	3.075351e-06	9.173302e-07
3.093536e-01	3.099757e-06	9.222251e-07
3.121157e-01	3.124918e-06	9.271228e-07
3.148778e-01	3.153311e-06	9.320254e-07
3.176398e-01	3.179542e-06	9.369345e-07
